sst,Latitude,Longitude,Date,Data_Type,Site,Reef_Site,mmm_climatology,mmm_climatology_as_at,hotspot,degree_heating_day_mmm_climatology,degree_heating_week_mmm_climatology,year,mmm_from_sst,mmm_from_sst_year_range,degree_heating_day_mmm_from_sst,degree_heating_week_mmm_from_sst,dhw_threshold,DHW_value,accum_DHW_12weeks
28.12,-12.095,96.8805,1985-02-11,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,0.4235257296466983,0,0,1990,27.696474270353303,1985_to_1990,0,0,1,0,0
28.06,-12.095,96.8805,1985-02-12,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,0.36352572964669605,0,0,1990,27.696474270353303,1985_to_1990,0,0,1,0,0
27.96,-12.095,96.8805,1985-02-13,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,0.2635257296466982,0,0,1990,27.696474270353303,1985_to_1990,0,0,1,0,0
28.05,-12.095,96.8805,1985-02-14,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,0.35352572964669804,0,0,1990,27.696474270353303,1985_to_1990,0,0,1,0,0
28.14,-12.095,96.8805,1985-02-15,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,0.4435257296466979,0,0,1990,27.696474270353303,1985_to_1990,0,0,1,0,0
28.65,-12.095,96.8805,1985-02-16,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,0.9535257296466959,0,0,1990,27.696474270353303,1985_to_1990,0,0,1,0,0
28.59,-12.095,96.8805,1985-02-17,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,0.8935257296466972,0,0,1990,27.696474270353303,1985_to_1990,0,0,1,0,0
28.8,-12.095,96.8805,1985-02-18,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,1.103525729646698,0,0,1990,27.696474270353303,1985_to_1990,1.103525729646698,0.15764653280667115,1,1.1576465328066712,0
28.79,-12.095,96.8805,1985-02-19,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,1.0935257296466965,0,0,1990,27.696474270353303,1985_to_1990,1.0935257296466965,0.15621796137809948,1,1.1562179613780994,0
28.76,-12.095,96.8805,1985-02-20,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,1.063525729646699,0,0,1990,27.696474270353303,1985_to_1990,1.063525729646699,0.15193224709238556,1,1.1519322470923856,0
28.75,-12.095,96.8805,1985-02-21,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,1.0535257296466973,0,0,1990,27.696474270353303,1985_to_1990,1.0535257296466973,0.1505036756638139,1,1.1505036756638138,0
28.73,-12.095,96.8805,1985-02-22,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,1.0335257296466978,0,0,1990,27.696474270353303,1985_to_1990,1.0335257296466978,0.14764653280667112,1,1.1476465328066712,0
28.72,-12.095,96.8805,1985-02-23,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,1.0235257296466962,0,0,1990,27.696474270353303,1985_to_1990,1.0235257296466962,0.14621796137809945,1,1.1462179613780994,0
28.29,-12.095,96.8805,1985-02-24,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,0.5935257296466965,0,0,1990,27.696474270353303,1985_to_1990,0,0,1,0,0
28.72,-12.095,96.8805,1985-02-25,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,1.0235257296466962,0,0,1990,27.696474270353303,1985_to_1990,1.0235257296466962,0.14621796137809945,1,1.1462179613780994,0
28.56,-12.095,96.8805,1985-02-26,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,0.863525729646696,0,0,1990,27.696474270353303,1985_to_1990,0,0,1,0,0
28.6,-12.095,96.8805,1985-02-27,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,0.9035257296466987,0,0,1990,27.696474270353303,1985_to_1990,0,0,1,0,0
28.28,-12.095,96.8805,1985-02-28,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,0.5835257296466985,0,0,1990,27.696474270353303,1985_to_1990,0,0,1,0,0
