sst,Latitude,Longitude,Date,end_date,Data_Type,Site,Reef_Site,date
29.36,-14.121,123.5467277,1985-04-20,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Apr
29.3,-14.121,123.5467277,1985-04-21,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Apr
29.28,-14.121,123.5467277,1985-04-22,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Apr
29.39,-14.121,123.5467277,1985-04-23,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Apr
29.150000000000002,-14.121,123.5467277,1985-04-24,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Apr
28.95,-14.121,123.5467277,1985-04-25,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Apr
29.03,-14.121,123.5467277,1985-04-26,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Apr
28.98,-14.121,123.5467277,1985-04-27,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Apr
29.150000000000002,-14.121,123.5467277,1985-04-28,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Apr
29.18,-14.121,123.5467277,1985-04-29,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Apr
28.92,-14.121,123.5467277,1985-04-30,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Apr
29.150000000000002,-14.121,123.5467277,1985-05-01,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-May
29.03,-14.121,123.5467277,1985-05-02,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-May
29.18,-14.121,123.5467277,1985-05-03,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-May
29.71,-14.121,123.5467277,1985-05-04,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-May
30.42,-14.121,123.5467277,1985-05-05,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-May
