sst,Latitude,Longitude,Date,end_date,Data_Type,Site,Reef_Site,date
25.55,-21.91,113.97,1985-04-22,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Apr
25.43,-21.91,113.97,1985-04-23,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Apr
25.54,-21.91,113.97,1985-04-24,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Apr
25.900000000000002,-21.91,113.97,1985-04-25,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Apr
26.7,-21.91,113.97,1985-04-26,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Apr
28.19,-21.91,113.97,1985-04-27,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Apr
28.67,-21.91,113.97,1985-04-28,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Apr
28.76,-21.91,113.97,1985-04-29,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Apr
28.27,-21.91,113.97,1985-04-30,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Apr
28.52,-21.91,113.97,1985-05-01,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-May
28.37,-21.91,113.97,1985-05-02,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-May
28.18,-21.91,113.97,1985-05-03,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-May
27.92,-21.91,113.97,1985-05-04,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-May
27.94,-21.91,113.97,1985-05-05,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-May
27.77,-21.91,113.97,1985-05-06,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-May
26.46,-21.91,113.97,1985-05-07,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-May
25.96,-21.91,113.97,1985-05-08,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-May
25.92,-21.91,113.97,1985-05-09,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-May
26,-21.91,113.97,1985-05-10,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-May
25.97,-21.91,113.97,1985-05-11,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-May
26.11,-21.91,113.97,1985-05-12,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-May
26.6,-21.91,113.97,1985-05-13,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-May
26.77,-21.91,113.97,1985-05-14,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-May
26.8,-21.91,113.97,1985-05-15,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-May
26.89,-21.91,113.97,1985-05-16,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-May
26.830000000000002,-21.91,113.97,1985-05-17,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-May
26.990000000000002,-21.91,113.97,1985-05-18,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-May
26.44,-21.91,113.97,1985-05-19,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-May
26.38,-21.91,113.97,1985-05-20,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-May
26.39,-21.91,113.97,1985-05-21,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-May
26.43,-21.91,113.97,1985-05-22,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-May
26.44,-21.91,113.97,1985-05-23,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-May
26.53,-21.91,113.97,1985-05-24,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-May
26.28,-21.91,113.97,1985-05-25,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-May
26.41,-21.91,113.97,1985-05-26,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-May
